50	-35	11	39	-6
16	-3	13	-78	-45
42	-45	43	-83	-62
67	91	96	-38	77
-27	-54	-4	-26	80
73	16	99	-51	-96
-13	-61	82	78	93
9	-33	-69	-41	55
48	-13	21	1	4
96	36	75	-88	-36
38	-38	-89	52	-100
35	-60	76	-26	-18
-45	-4	15	-76	-55
66	55	-95	-85	37
66	12	33	-60	-45
58	84	-99	-90	14
-100	41	-54	31	99
42	76	-40	-12	50
35	-49	66	71	87
22	-90	-58	-74	-86
50	-35	11	39	-6
16	-3	13	-78	-45
42	-45	43	-83	-62
67	91	96	-38	77
-27	-54	-4	-26	80
73	16	99	-51	-96
-13	-61	82	78	93
9	-33	-69	-41	55
48	-13	21	1	4
96	36	75	-88	-36
38	-38	-89	52	-100
35	-60	76	-26	-18
-45	-4	15	-76	-55
66	55	-95	-85	37
66	12	33	-60	-45
58	84	-99	-90	14
-100	41	-54	31	99
42	76	-40	-12	50
35	-49	66	71	87
22	-90	-58	-74	-85
